sense,weight
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
hearing,1
taste,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
hearing,1
sight,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
smell,1
touch,1
